ID,Title,Start,End,Commentaire,BackgroundColor
C_15411_163_6_406,WEBA (GANDER),2025-04-11T13:10:00,2025-04-11T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10557_5_6_407,BDON (Girardet),2025-04-28T08:00:00,2025-04-28T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10558_5_6_408,MDLD (Girardet),2025-04-28T09:50:00,2025-04-28T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10564_66_6_409,WEBA (Le Franc),2025-04-29T08:00:00,2025-04-29T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10562_66_4_410,MATH (Le Franc),2025-04-29T09:50:00,2025-04-29T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10565_142_7_411,PRSE (Gerber),2025-04-29T13:10:00,2025-04-29T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10561_66_5_412,TKDE (Le Franc),2025-04-30T08:00:00,2025-04-30T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10567_43_4_413,COMM (Bruyndonckx),2025-04-30T10:40:00,2025-04-30T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10568_43_5_414,GEFA (Bruyndonckx),2025-04-30T13:10:00,2025-04-30T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10563_158_5_415,DROA (Barbafieri),2025-05-01T08:00:00,2025-05-01T09:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10566_66_4_416,MATH (Le Franc),2025-05-01T09:50:00,2025-05-01T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
